,,l1,s0,beta,l2,n0,e0,mlsq
Native forest,TER-NFBF-TP39,0.12806874964313306,13,0.1317608497489201,0.003692100105787051,44,3565.031290463553,0.44671664718377174
Native forest,TER-NFBF-TP41,0.3471114928123815,8,0.4390545333904623,0.09194304057808075,14,101.01039197421542,0.09639729034157407
Native forest,TER-NFBF-TP42,0.1654243330306006,13,0.17587983216108555,0.010455499130484927,37,1280.3648396656754,0.9575784416410532
Native forest,TER-NFBF-TY01,0.05947444612067086,10,0.07914675551289639,0.01967230939222553,46,554.3287274829048,0.11992291790373012
Native forest,TER-NFBF-TY02,0.06152869358011592,6,0.3897579751347204,0.32822928155460446,11,29.27990474092372,0.041564844341351
Native forest,TER-NFBF-TY04,0.037696934773147436,12,0.042294099672443124,0.004597164899295688,85,2695.3044513018162,0.22971397096286447
Native forest,TER-NFGM-T-23,0.04049479901869834,17,0.043256038690873806,0.0027612396721754637,121,6277.654987723837,0.8658847198107951
Native forest,TER-NFGM-T-53,0.04547824996790058,16,0.045925218594985794,0.00044696862708521574,109,35905.69585388945,0.21719481525135725
Native forest,TER-NFGM-T-54,0.029258655384365728,16,0.029581104791754614,0.0003224494073888869,149,49769.18733284059,0.25796912924251625
Native forest,TER-NFGM-TY35,0.017535985426743613,15,0.017733639604947022,0.0001976541782034085,202,76092.12352960889,0.5517033134572861
Native forest,TER-NFPG-T-22,0.0696492049869509,23,0.0734064391918384,0.0037572342048874897,114,6235.524170646885,0.2934676489627081
Native forest,TER-NFPG-T-40,0.06332117337856896,22,0.06372849275244898,0.00040731937388001203,120,54131.67096579293,0.26509692160509984
Native forest,TER-NFPG-T-44,0.05401742707348368,18,0.05534683281695691,0.0013294057434732358,108,13647.88433431376,0.43944026133656977
Native forest,TER-NFPG-TY33,0.0835711432883361,13,0.08742599407694983,0.0038548507886137207,57,3429.374370079069,0.3988594241108164
Native forest,TER-NFSB-T-07,0.06537938889768564,15,0.06665239125205918,0.0012730023543735451,79,11862.167523976515,0.21461556357037134
Native forest,TER-NFSB-T-08,0.09931585958881751,8,0.1058606255507364,0.006544765961918889,30,1252.350813848574,0.31628191198116545
Native forest,TER-NFSB-T-09,0.01794551647616824,11,0.020698643669934607,0.0027531271937663673,126,4121.456521190234,0.7975672949807625
Native forest,TER-NFSB-T-10,0.03063168563325682,11,0.03424588879132025,0.003614203158063428,89,3132.5477804999896,0.4720658378148586
Native forest,TER-NFSB-T-12,0.02638558938787585,13,0.029967081463059417,0.0035814920751835663,118,3747.7720969642787,0.7624213833311159
Native forest,TER-NFSB-T164,0.04983996080875085,13,0.05447522488826094,0.00463526407951009,78,2882.586702506493,0.30216327106331026
Native forest,TER-NFSB-T-43,0.059821055760692146,14,0.06351235827937295,0.0036913025186808036,76,3868.6991703197805,0.26225394194552526
Native forest,TER-NFSB-T-46,0.07721432333352014,9,0.08204805067705444,0.004833727343534293,40,1901.9171832351303,1.1276978185849056
Native forest,TER-NFSB-T-47,0.06566253136133686,17,0.06980641485829776,0.004143883496960905,87,4189.431936724978,0.20129891419146606
Native forest,TER-NFSB-T-57,0.08703613853184441,10,0.0914452195886762,0.004409081056831791,42,2310.0463051377073,0.33740348341011517
Native forest,TER-NFSB-TE45,0.02795919758627908,22,0.031400332234458414,0.0034411346481793355,198,6591.240093537155,0.19987140098412753
Native forest,TER-NFSB-TE48,0.029193336466693157,10,0.03154782123728168,0.0023544847705885214,84,4331.213711006686,0.8777063305648831
Native forest,TER-NFSB-TE49,0.025760985521214447,19,0.02788037540064861,0.0021193898794341645,186,9150.844167828445,0.7882176136326627
Native forest,TER-NFSB-TE50,0.017591184683596446,12,0.019317380359551533,0.0017261956759550864,147,7098.703197472397,0.338396245839488
Native forest,TER-NFSB-TY05,0.08617390004099922,10,0.0914452195886762,0.005271319547676985,42,1939.058205171207,0.6453903382937745
Native forest,TER-NFSB-TY06,0.054646406260703134,10,0.05669062660788252,0.0020442203471793866,57,4948.8405561308455,1.1087406929378005
Native forest,TER-NFSB-TY11,0.04594883040590213,9,0.05095223001423725,0.005003399608335126,54,1852.776972562209,0.5244405009013274
Native forest,TER-NFTB-T173,0.061890269936456535,19,0.0633238008720938,0.0014335309356372666,104,13357.986731408539,0.15044111031884297
Native forest,TER-NFTB-T-51,0.11045666658372486,14,0.11367200624044473,0.0032153396567198684,52,4406.127866628595,0.1729341853543619
Native forest,TER-NFTB-T-52,0.04609223132435441,13,0.04971930403170579,0.003627072707351381,83,3667.1575421555494,0.18273349916168183
Native forest,TER-NFTB-T-55,0.03835743271620803,16,0.04101675921671,0.002659326500501971,118,6134.5609589419955,0.18927761188113498
